Date,Close
1985-01-31,250.41
1985-02-28,272.62
1985-03-29,278.26
1985-04-30,278.64
1985-05-31,292.30
1985-06-28,289.94
1985-07-31,318.27
1985-08-30,322.45
1985-09-30,306.90
1985-10-31,316.23
1985-11-29,341.61
1985-12-31,329.61
1986-01-31,367.20
1986-02-28,390.89
1986-03-31,411.40
1986-04-30,388.88
1986-05-30,407.10
1986-06-30,417.00
1986-07-31,393.40
1986-08-29,422.60
1986-09-30,383.10
1986-10-31,381.00
1986-11-28,387.50
1986-12-31,370.62
1987-01-30,426.40
1987-02-27,464.22
1987-03-31,474.65
1987-04-30,452.30
1987-05-29,462.58
1987-06-30,488.82
1987-07-31,511.83
1987-08-31,537.16
1987-09-30,500.82
1987-10-30,351.73
1987-11-30,328.61
1987-12-31,376.00
1988-01-29,388.83
1988-02-29,405.64
1988-03-31,391.19
1988-04-29,393.44
1988-05-31,392.76
1988-06-30,416.44
1988-07-29,406.45
1988-08-31,394.89
1988-09-30,404.22
1988-10-31,397.01
1988-11-30,387.71
1988-12-30,392.07
1989-01-31,417.68
1989-02-28,410.99
1989-03-31,424.28
1989-04-28,444.55
1989-05-31,475.03
1989-06-30,455.97
1989-07-31,485.19
1989-08-31,509.28
1989-09-29,503.76
1989-10-31,450.17
1989-11-30,450.04
1989-12-29,454.82
1990-01-31,419.78
1990-02-28,421.63
1990-03-30,439.17
1990-04-30,420.76
1990-05-31,464.46
1990-06-29,454.70
1990-07-31,439.76
1990-08-31,383.85
1990-09-28,342.48
1990-10-31,325.11
1990-11-30,363.43
1990-12-31,379.54
1991-01-31,424.31
1991-02-28,467.33
1991-03-28,502.29
1991-04-30,499.86
1991-05-31,533.60
1991-06-28,508.35
1991-07-31,542.85
1991-08-30,560.98
1991-09-30,553.04
1991-10-31,576.61
1991-11-29,540.85
1991-12-31,586.34
1992-01-31,614.82
1992-02-29,640.68
1992-03-31,600.12
1992-04-30,591.77
1992-05-29,601.31
1992-06-30,577.90
1992-07-31,607.53
1992-08-31,591.56
1992-09-30,610.63
1992-10-30,619.73
1992-11-30,664.41
1992-12-31,669.51
1993-01-29,706.78
1993-02-26,693.56
1993-03-31,720.15
1993-04-30,696.72
1993-05-28,729.16
1993-06-30,723.69
1993-07-30,722.32
1993-08-31,758.79
1993-09-30,773.30
1993-10-29,773.55
1993-11-30,768.90
1993-12-31,778.03
1994-01-31,802.56
1994-02-28,777.23
1994-03-31,725.38
1994-04-29,736.68
1994-05-31,728.33
1994-06-30,700.38
1994-07-29,724.26
1994-08-31,769.71
1994-09-30,764.49
1994-10-31,787.36
1994-11-30,759.20
1994-12-30,759.43
1995-01-31,773.75
1995-02-28,804.09
1995-03-31,827.56
1995-04-28,863.57
1995-05-31,920.32
1995-06-30,951.11
1995-07-31,1042.56
1995-08-31,1054.48
1995-09-29,1113.68
1995-10-31,1148.99
1995-11-30,1202.52
1995-12-29,1235.43
1996-01-31,1253.13
1996-02-29,1246.79
1996-03-29,1240.05
1996-04-30,1328.35
1996-05-31,1374.14
1996-06-28,1312.40
1996-07-31,1213.26
1996-08-30,1287.57
1996-09-30,1379.20
1996-10-31,1372.56
1996-11-29,1468.61
1996-12-31,1490.64
