Date	Price	Open	High	Low	Vol.	Change %
03/22/2026	23,132.77	24,270.77	24,465.16	23,088.99	1.88B	-3.20%
03/15/2026	23,898.15	24,646.18	24,884.68	23,759.97	2.46B	-1.98%
03/08/2026	24,380.73	24,429.67	25,189.17	24,289.22	1.73B	-1.06%
03/01/2026	24,643.02	24,599.41	25,179.36	24,315.84	1.99B	-1.27%
02/22/2026	24,960.04	24,935.52	25,343.97	24,618.23	2.20B	-0.21%
02/15/2026	25,012.62	24,567.54	25,077.56	24,387.47	1.44B	1.13%
02/08/2026	24,732.73	24,953.68	25,382.84	24,514.96	2.20B	-1.37%
02/01/2026	25,075.77	25,491.64	25,840.04	24,455.40	2.57B	-1.87%
01/25/2026	25,552.39	25,631.01	26,165.08	25,418.54	2.04B	-0.21%
01/18/2026	25,605.47	25,155.03	25,709.74	24,954.18	1.72B	0.30%
01/11/2026	25,529.26	25,616.81	25,873.18	25,266.20	1.95B	-0.92%
01/04/2026	25,766.26	25,471.79	25,813.17	25,354.66	1.73B	2.22%
12/28/2025	25,206.17	25,462.25	25,598.14	25,086.36	999.54M	-1.71%
12/21/2025	25,644.39	25,527.68	25,716.71	25,401.59	868.75M	1.18%
12/14/2025	25,346.18	25,352.87	25,377.62	24,647.61	3.00B	0.59%
12/07/2025	25,196.73	25,758.82	25,835.03	25,104.68	1.77B	-1.93%
11/30/2025	25,692.05	25,232.75	25,827.08	25,158.63	1.80B	1.01%
11/23/2025	25,434.89	24,462.87	25,435.77	24,455.65	1.59B	4.93%
11/16/2025	24,239.57	24,890.10	25,222.95	23,854.03	2.23B	-3.07%
11/09/2025	25,008.24	25,418.17	25,663.17	24,534.90	1.79B	-0.21%
11/02/2025	25,059.81	26,114.11	26,132.87	24,603.78	2.00B	-3.09%
10/26/2025	25,858.13	25,701.95	26,182.10	25,656.38	2.00B	1.97%
10/19/2025	25,358.16	24,991.10	25,418.64	24,652.11	1.49B	2.18%
10/12/2025	24,817.95	24,625.74	24,998.30	24,256.28	1.64B	2.46%
10/05/2025	24,221.74	24,986.26	25,195.28	24,207.15	1.91B	-2.27%
09/28/2025	24,785.52	24,629.02	24,958.26	24,505.14	1.89B	1.15%
09/21/2025	24,503.85	24,588.18	24,781.73	24,186.37	1.90B	-0.50%
09/14/2025	24,626.25	24,178.60	24,641.93	23,999.75	2.62B	2.22%
09/07/2025	24,092.19	23,759.62	24,137.06	23,698.00	1.71B	1.86%
08/31/2025	23,652.44	23,020.47	23,860.25	22,977.88	1.38B	1.01%
08/24/2025	23,415.42	23,454.28	23,741.23	23,353.96	1.67B	-0.35%
08/17/2025	23,498.12	23,692.13	23,733.50	22,959.70	1.60B	-0.90%
08/10/2025	23,712.07	23,629.02	23,969.28	23,484.25	1.78B	0.43%
08/03/2025	23,611.27	22,986.77	23,619.24	22,973.60	1.77B	3.73%
07/27/2025	22,763.31	23,343.13	23,589.37	22,673.88	1.91B	-2.19%
07/20/2025	23,272.25	23,124.97	23,326.30	22,953.85	1.58B	0.90%
07/13/2025	23,065.47	22,780.19	23,153.21	22,669.37	1.70B	1.25%
07/06/2025	22,780.60	22,754.38	22,915.33	22,587.47	1.61B	-0.38%
06/29/2025	22,866.97	22,632.92	22,896.01	22,388.09	1.37B	1.48%
06/22/2025	22,534.20	21,632.78	22,603.22	21,532.32	2.11B	4.20%
06/15/2025	21,626.39	21,783.08	21,979.77	21,552.80	1.81B	-0.02%
